CEC2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FunctionNo.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,Mean,Variance,
1,372.7808596,327.8627529,237.1666064,100.0044692,144.0461918,203.2864829,778.4710507,381.2796112,184.7939843,121.6216016,1220.376945,213.3038315,918.5265523,106.211931,104.6344441,126.818783,103.730464,702.8253209,407.5991128,100.0121187,1705.281151,100.038614,149.632626,298.1026278,868.3498605,204.2996276,819.3775113,607.2242732,861.0925124,103.2213119,228.8305616,574.325995,226.0219666,199.590467,201.4439733,508.0896362,761.0249361,314.2135745,433.3340588,731.9289596,104.4580335,244.0551962,537.9318832,258.7883977,951.6243328,358.1391771,364.8178516,175.4097541,110.4224313,574.325995,408.6150082,116889.2894,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,300.021341,300.0022924,300.0000252,300.0008865,300.0027047,300.4498348,300.3299155,300.0019461,300.0015727,300.0002092,300.0125366,300.0042271,300.000014,300.0282726,300.0003776,300.0008565,300.2814184,300.1477603,300.0016841,300.0072369,300.0219525,300.0305849,300.0102955,300.0042004,300.0923318,300.0023149,300.0010511,300.0001762,300.0016096,300.0584021,300.0009155,300.0021123,300.0040047,301.255117,300.5930865,300.0007218,300.0000109,300.0000196,300.0160631,300.0006137,300.0089971,300.0000848,300.6246955,300.0004557,300.0011027,300.0001108,300.0001124,300.0000034,300.0327079,300.0021123,300.0812216,1765.213408,
4,404.7482514,404.5037027,404.8348605,404.6877279,404.869492,404.2996797,404.5085934,404.5514761,404.7897633,405.3913925,405.1607833,404.8062106,404.5395243,404.8229045,404.6866276,404.5677503,405.0549141,403.4711057,404.2117311,405.3659642,404.588864,405.3699643,404.9929704,405.2606404,404.6945306,404.6645989,405.5551903,404.506823,404.9312935,404.3400672,405.7964639,404.6620275,404.580418,404.7589101,403.7217456,405.8004993,404.1320742,404.1755968,405.3205117,405.2094487,404.6193593,404.5471395,404.7788102,405.4503349,403.9688526,404.0324639,403.4501481,404.616623,403.6392464,404.6620275,404.694002,3211.412108,
5,505.9697493,504.9747953,502.9848772,504.9747953,500.9949591,504.9747953,504.9747953,501.9899181,503.9798362,508.9546265,501.9899181,505.9697543,501.9899181,504.9747953,502.9848772,504.9747953,502.9848772,502.9848772,503.9798362,504.9747953,501.9899181,503.9798362,502.9848772,502.9848772,510.9445446,500.9949591,501.9899181,502.9848772,502.9848772,507.9596674,504.9747953,507.9596674,508.9546265,500.9949591,504.9747953,504.9747953,503.9798362,502.9848772,503.9798362,508.9546265,504.9747953,506.9647134,505.9697543,504.9747953,503.9798362,502.9848772,502.9848772,503.9798362,502.9848774,507.9596674,504.4574158,4992.571765,
6,600.2347041,600.2181916,600.1404249,600.3257933,600.2609021,600.182851,600.259976,600.7555537,600.2851578,600.2340234,600.2084722,600.3743148,600.0020175,600.0389176,600.1266608,601.4093674,600.1932144,600.2349093,600.0043372,600.3969575,600.3492154,600.0701838,600.0126809,600.0248914,600.5070472,600.1198937,600.0300064,600.1955395,600.098759,600.6895365,600.097824,600.109347,600.0711799,600.0014805,600.0631276,600.000028,600.2335089,600.1736151,600.4829783,600.0434054,600.0072594,600.284724,600.0935989,600.0194994,600.5311908,600.3749977,600.1261287,600.120306,600.0590138,600.109347,600.2197412,7062.055733,
7,714.5544675,713.9320147,712.8110247,712.9289123,715.113924,712.5180242,717.4343014,711.8853303,717.3356121,711.8697859,711.1398478,712.8582618,716.5663101,714.2982643,712.963911,712.1012188,711.7628018,713.741462,711.9283253,713.5011306,716.68252,711.959913,715.0770439,714.4041676,716.4058307,714.0386731,713.1061847,714.4951091,713.0298325,715.4963079,711.7041835,715.6540184,712.5635036,712.0810992,715.5444046,712.1217582,719.3111635,712.72976,716.3407564,715.6870252,714.4479982,717.3656814,716.0340645,714.3992799,714.4324988,715.3079727,712.4454458,714.7597547,715.0141366,715.6540184,714.1907807,10004.99405,
8,803.9798362,803.9798362,801.9899181,802.9848772,804.9747953,801.9899181,801.9899181,802.9848772,803.9798362,801.9899181,803.9798362,803.9798362,802.9848772,804.9747953,803.9798362,800.9949591,800.9949591,801.9899181,804.9747953,803.9798362,801.9899181,802.9848772,803.9798362,804.9747902,805.9697543,803.9798362,802.9848772,806.9647134,803.9798362,802.9848772,804.9747953,805.9697543,806.9647134,804.9747953,804.9747953,802.9848772,800.9949591,807.9596725,802.9848772,800,808.9546265,803.9798362,804.9747902,803.9798362,801.9899181,808.9546214,803.9798362,801.9899181,802.9848772,805.9697543,803.900239,12671.50174,
9,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900.0895283,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900.0017906,15877.68528,
10,2490.823037,1897.32282,2566.841747,2485.361994,2343.877321,2423.543247,2416.391802,2600.846846,2285.473149,2303.165244,2394.158913,2424.887438,1945.291744,2066.429436,2112.967592,2276.52149,2458.990157,1975.659751,2432.598161,2152.085178,2501.071137,2012.294734,2259.775824,1993.157465,2343.99488,2410.882612,2410.179247,1998.886975,1029.648238,2104.096426,2199.173048,2190.874211,2322.630631,2522.644501,2329.162988,2326.065998,2268.035576,1256.091861,2225.164901,2718.032278,2067.820347,2273.215526,2099.705182,2510.044192,2358.636405,2614.457598,2529.143071,2092.08683,2469.359799,2190.874211,2253.608875,191296.064,
11,1114.308857,1123.60256,1120.40502,1134.804045,1116.230321,1112.947883,1128.858042,1126.591326,1134.093059,1110.297691,1110.282019,1115.55821,1128.388912,1114.167518,1124.598858,1124.637294,1121.230632,1105.602363,1123.060486,1108.018303,1109.818844,1120.223035,1134.719029,1130.100196,1130.565297,1109.612094,1113.548295,1120.930098,1111.031143,1115.612263,1116.781024,1124.224449,1143.231115,1109.109238,1115.461072,1121.689021,1109.800656,1140.269098,1122.921865,1117.811507,1118.347022,1128.7706,1108.491419,1167.023701,1107.882398,1128.998001,1116.77601,1145.893916,1114.720372,1124.224449,1121.525412,24798.44702,
12,1109636.95,124104.2024,213709.3814,138871.0484,43656.85523,403450.2408,8832.596641,450780.3318,228646.4398,53540.49976,28460.30828,103032.9472,615261.1367,15520.4645,126695.3719,43522.5749,26853.59472,55567.6145,127619.375,19403.62293,82630.94977,132581.8299,199983.5435,54975.60929,31808.8924,1667083.778,146260.0469,28800.96412,66124.99497,39059.93087,123347.6899,159976.7476,198225.6493,101514.5521,12379.23926,14781.71338,106050.7672,24136.72881,446903.2724,244261.9757,14623.62277,215466.5942,156768.6141,17608.99749,12091.14758,252014.7757,11330.54254,46629.28014,23151.42001,159976.7476,174554.3235,83081601347,
13,19520.36051,12989.00068,20163.13382,8791.204966,2320.783443,55346.33766,24886.37994,62730.08928,95962.01863,6518.771724,20023.50795,53650.76345,15218.16277,6741.309768,12958.84721,7034.264549,9462.602437,19216.07473,115713.9056,42128.95658,16939.85835,28002.64321,23241.49245,28966.67719,9946.601769,43520.38316,31270.62665,4775.908075,9422.451257,22077.80758,4762.421084,26653.33918,35839.69192,17013.98834,21964.04428,16492.50436,20427.24675,45441.61974,19103.96075,30568.00611,2913.35719,25177.1297,21709.41974,42369.12377,24494.16743,21111.04369,8567.695813,37950.64816,25472.23924,26653.33918,26084.51824,482461540.1,
14,1531.090651,1843.611133,1948.341743,1660.696505,1737.279495,1825.658678,1932.366562,2029.149522,2059.920918,1601.311796,1912.227053,1723.632802,1897.990737,1929.261015,1721.841192,1962.592317,1996.563203,1914.129891,1683.708378,1543.473244,1968.953812,1903.6872,1683.919575,1729.139449,1847.176122,1614.024071,1592.493419,1617.590547,1529.379101,1578.744757,1872.82907,2013.346398,1562.085294,2015.50737,1704.790987,3031.925092,1778.2209,4306.505595,1678.957471,1692.571772,1565.061907,2544.861623,1821.743132,1811.90663,2939.096706,1590.027255,1806.451984,1733.920899,1621.480165,2013.346398,1892.491831,282224.2429,
15,2836.903743,5832.775165,3644.925009,6485.091235,3813.806809,2556.278111,5505.293379,4140.49368,5037.808867,4971.010434,2178.853103,7720.583094,4057.229541,3336.661284,3870.100762,3052.097676,2645.474593,2943.100227,6446.851165,4942.229201,3849.298794,2671.291092,5992.848096,2768.397606,6521.480422,4330.404174,2611.912047,4846.082388,2612.423106,4020.756429,3164.946926,4040.626006,4013.042146,7068.754926,2741.664314,4153.514578,4241.845478,4549.852072,5415.305349,3360.639322,2930.858012,2509.695271,3348.013186,6314.021715,3230.794606,7612.572018,4972.394299,3973.872189,7240.206223,4040.626006,4303.314118,2575926.641,
16,1606.590809,1607.040717,1603.372395,1612.756619,1612.452162,1612.088275,1607.243635,1607.013273,1629.315436,1604.309524,1612.958172,1607.637143,1605.031685,1606.5739,1609.916175,1604.407028,1606.470338,1603.896845,1609.182156,1624.372943,1608.621036,1616.210958,1608.374477,1609.747594,1605.788279,1604.076438,1613.018143,1624.99443,1607.041205,1607.768495,1604.639906,1606.487077,1606.48041,1611.70894,1603.080741,1604.525797,1603.910958,1606.540058,1607.65125,1606.737848,1617.980108,1605.942015,1606.969133,1605.133586,1619.492484,1607.022035,1603.208721,1609.865897,1608.00294,1606.487077,1609.002745,50789.17452,
17,1735.139222,1724.121446,1746.561403,1733.238627,1723.090791,1754.666708,1706.311375,1744.771566,1746.099855,1748.586954,1744.656959,1757.659441,1749.221295,1750.441352,1741.643652,1737.000129,1743.578907,1747.518382,1743.996005,1754.934668,1741.414332,1740.877796,1757.866065,1750.333121,1754.938338,1753.948353,1740.326912,1738.555661,1744.243521,1761.325536,1728.716028,1730.676339,1763.06636,1755.23367,1742.101074,1745.629482,1741.918325,1725.858821,1747.946453,1745.607263,1744.012241,1767.18458,1756.374479,1734.126684,1747.191029,1770.266247,1753.791879,1746.127763,1761.380228,1730.676339,1745.099073,59887.71249,
18,51695.05266,5316.75913,6806.619163,8846.330925,7432.773257,36446.82999,18421.15769,37887.91012,61054.77651,10803.73011,8733.300927,18232.99874,51454.21124,16453.66287,55472.76834,10469.98957,10994.8265,13936.07789,21960.45551,11244.9594,12500.67265,20458.78815,22562.50523,59390.08,11695.53527,23376.45504,21271.15394,10755.3726,46251.28774,6536.200045,19501.14946,23192.73117,3569.377667,12750.36937,17960.37948,28293.30893,20932.92596,22994.11197,21347.90994,21225.59301,12336.10343,71708.54989,16091.81857,13064.30075,13368.73411,26532.35136,8236.320489,4443.866682,5684.809976,23192.73117,21697.81369,277174553.4,
19,2113.662667,2793.663029,2193.65632,4924.657766,2151.382582,2462.260089,2454.317116,2995.961137,2901.820412,3564.764558,2752.511331,2506.287051,3351.50761,2022.616379,2550.829524,3201.225831,3132.594565,5796.390896,2066.587078,5151.635586,2161.44031,4286.18104,2694.104725,2606.700927,2159.941356,2737.76424,2874.539167,2879.174226,3205.591289,2072.18901,2046.80974,2837.225378,2476.892393,2084.508212,2118.118828,3198.450724,3432.686222,2623.95548,3050.157105,2696.526454,3882.745107,4637.695227,2804.036929,2143.325848,2103.906865,3265.993945,2234.230048,2914.164089,1990.093012,2837.225378,2882.894096,887472.7527,
20,2045.834693,2025.430369,2042.173145,2041.119123,2064.590534,2061.801464,2047.837911,2025.060009,2066.686131,2031.534976,2051.307333,2037.607825,2072.795764,2059.586918,2049.669852,2068.92183,2043.499024,2044.194842,2069.253469,2047.51444,2052.285455,2038.238703,2031.438727,2033.054358,2053.503908,2024.545801,2079.86085,2052.286144,2050.088437,2061.019029,2052.29236,2032.007664,2055.17917,2052.754479,2026.977617,2031.691655,2057.565469,2051.256245,2068.636878,2080.649985,2026.631626,2087.594342,2037.971964,2042.705133,2046.891405,2059.988333,2049.893656,2055.2696,2075.01377,2032.007664,2049.914402,82683.20404,
21,2304.871478,2308.406087,2309.798845,2306.53797,2304.166498,2305.006582,2304.044923,2304.508693,2304.960509,2307.37282,2200.015834,2304.954895,2307.286489,2300,2304.455814,2200.000056,2301.956919,2302.968597,2200.000479,2305.346959,2306.383619,2303.031088,2307.957341,2304.47716,2305.852611,2301.71317,2304.142041,2200.310648,2306.623863,2303.648674,2200.000002,2308.50775,2307.608724,2200.001671,2200.000032,2304.681732,2302.652341,2200,2200.000006,2305.073521,2302.835028,2304.798512,2309.683127,2200.000023,2200.000018,2306.697189,2306.072332,2305.867052,2200,2308.50775,2280.075749,104067.7492,
22,2300,2300.344444,2302.130392,2301.107329,2300.83545,2301.203874,2300,2300.835447,2300,2300.799054,2302.321779,2300.801831,2300.287846,2301.812094,2301.558417,2301.168628,2300.344441,2301.812096,2300,2300,2302.34703,2301.135838,2301.108919,2302.488674,2300,2301.469482,2300,2301.108931,2302.939078,2301.418186,2304.007819,2300.863016,2300.555017,2301.136452,2305.602888,2302.919884,2301.812096,2300.28639,2300.286379,2300.602835,2301.077153,2300.912176,2302.325141,2300,2301.812094,2300,2302.494524,2304.160024,2300.58327,2300.863016,2301.273589,103903.9622,
23,2609.299209,2611.25369,2609.864264,2608.200057,2611.034324,2605.582551,2613.068757,2608.298849,2609.835197,2605.646093,2605.395631,2605.660384,2607.112028,2606.759208,2610.823558,2608.601845,2608.018337,2605.470153,2605.651079,2607.121761,2610.32848,2606.467045,2605.633108,2607.480672,2605.262222,2610.500302,2610.392996,2606.689416,2605.824519,2606.160642,2610.67071,2605.871847,2608.633198,2607.465995,2604.133112,2608.751643,2609.252675,2600.000035,2605.873282,2607.611242,2609.079898,2607.311067,2608.955812,2605.798065,2606.692757,2607.257764,2609.235301,2609.378986,2608.0417,2605.871847,2607.666466,133618.9233,
24,2732.421977,2733.038484,2735.629707,2732.12062,2734.849646,2736.56121,2733.629107,2728.204796,2736.90403,2734.449044,2736.410301,2734.016386,2733.926343,2729.492699,2736.309653,2733.691735,2735.842117,2737.92543,2736.58746,2737.288349,2736.839263,2736.706534,2742.023484,2734.763952,2737.326603,2733.405291,2734.543269,2735.221464,2737.099813,2735.017897,2733.977578,2736.856434,2737.470261,2730.383574,2736.834516,2730.386611,2734.840568,2729.564068,2735.183861,2736.05111,2734.24868,2736.642139,2734.04132,2736.628743,2735.239491,2736.186435,2731.700495,2732.698394,2735.258084,2736.856434,2734.865909,146977.7428,
25,2947.947097,2943.796718,2944.534608,2945.156536,2944.714125,2946.07832,2898.47304,2944.89763,2943.95388,2944.790481,2948.208894,2897.940444,2949.080863,2946.153801,2944.146791,2943.812101,2946.373946,2947.296478,2943.57244,2943.944917,2944.142494,2897.742888,2944.105488,2897.886175,2943.95681,2897.934682,2944.036072,2945.910693,2946.222837,2943.887658,2943.643052,2943.688486,2948.299837,2949.751766,2949.129426,2944.480177,2947.199556,2943.887658,2948.651398,2944.604478,2943.621643,2943.812225,2944.336873,2948.605215,2946.408654,2944.272564,2943.754386,2944.953114,2943.987583,2943.688486,2940.62951,170219.6268,
26,2900,2900,2900,2900.000003,2900,2955.406142,2900,2900,3383.252668,3138.758917,3145.775182,2900,2900,2900,2900,2900,2900,2900,2955.406142,2900,3223.137585,2900,2900,2900,2900,2900,3160.601687,2900,2900,2900,2900,2900,2900,2900,2900.000028,2900,3183.506088,2900,2900,2900,2900,2900,3175.684743,2900,2900,2900,2900,2900,3156.168266,2900,2949.553949,183839.7973,
27,3200.002269,3072.020615,3159.653916,3137.709383,3147.556928,3154.443516,3072.158021,3072.700136,3073.988747,3149.034807,3072.815391,3073.505753,3113.676007,3074.116194,3200.002265,3073.490501,3072.158024,3096.931049,3075.193311,3073.349262,3072.796976,3185.396656,3071.58416,3074.144576,3200.002268,3073.173406,3190.353665,3172.059923,3187.530289,3071.347786,3071.02267,3071.030992,3161.50837,3197.455036,3186.981269,3073.223204,3071.029577,3073.088113,3072.586701,3072.093952,3071.207858,3153.939468,3071.642218,3173.614557,3071.456583,3072.966078,3165.929942,3200.002247,3149.535775,3071.030992,3114.284828,193309.9007,
28,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,3272.500485,210535.668,
29,3157.297506,3144.689072,3163.965068,3142.093599,3158.514873,3178.62508,3146.38852,3181.252305,3178.410399,3167.635613,3171.625161,3191.771627,3188.635108,3204.4734,3149.24935,3200.189524,3142.405707,3167.646318,3143.690141,3172.778351,3139.420778,3194.296639,3189.831925,3167.926359,3200.365147,3169.232869,3159.913175,3155.123195,3145.551381,3149.768112,3158.427058,3195.393979,3170.666288,3169.130578,3177.105615,3179.675803,3158.206758,3182.471749,3185.040297,3182.245773,3161.605166,3142.731714,3174.124552,3171.805799,3189.314986,3145.9072,3171.763376,3176.083044,3157.052423,3195.393979,3169.338249,197475.8935,
30,9583.017772,6831.304788,7553.073744,8957.433648,5483.223162,14318.30892,7331.508626,4638.055502,6141.09056,8367.167553,10793.42822,9551.468848,5077.431126,10353.2827,10043.50904,5389.777313,6446.560473,4872.819235,4419.051983,5420.203394,8149.983686,5986.183339,8714.58465,9234.362416,11100.28422,19408.05268,4183.69145,4362.23489,4502.247576,6167.032152,4348.673251,4863.928447,4494.173927,3400.964306,10642.00961,15518.10811,4757.445552,14917.76145,7217.730093,6803.014639,6487.908152,6322.351186,8810.793707,6688.600954,6688.137343,7899.621478,8419.650875,5598.617479,4853.085052,4863.928447,7539.537554,11762724.03,
